一鼻孔出气	yi bi kong chu qi
丁是丁卯是卯	ding shi ding mao shi mao
七弯八拐	qi wan ba guai
七情六欲	qi qing liu yu
七手八脚	qi shou ba jiao
七扭八歪	qi niu ba wai
七折八扣	qi zhe ba kou
七窍生烟	qi qiao sheng yan
七零八落	qi ling ba luo
万丈高楼平地起	wan zhang gao lou ping di qi
万不得已	wan bu de yi
万世师表	wan shi shi biao
万事亨通	wan shi heng tong
万事俱备只欠东风	wan shi ju bei zhi qian dong feng
万事大吉	wan shi da ji
万事如意	wan shi ru yi
万事开头难	wan shi kai tou nan
万事起头难	wan shi qi tou nan
万众一心	wan zhong yi xin
万变不离其宗	wan bian bu li qi zong
万古千秋	wan gu qian qiu
万古长新	wan gu chang xin
万古长青	wan gu chang qing
万夫不当	wan fu bu dang
万头攒动	wan tou cuan dong
万寿无疆	wan shou wu jiang
万念俱灰	wan nian ju hui
万无一失	wan wu yi shi
万死不辞	wan si bu ci
万水千山	wan shui qian shan
万箭穿心	wan jian chuan xin
万籁俱寂	wan lai ju ji
万紫千红	wan zi qian hong
万象更新	wan xiang geng xin
万里江山	wan li jiang shan
万马奔腾	wan ma ben teng
万马齐喑	wan ma qi yin
丈二和尚摸不着头脑	zhang er he shang mo bu zhao tou nao
三七二十一	san qi er shi yi
三下两下	san xia liang xia
三个和尚没水喝	san ge he shang mei shui he
三个女人一台戏	san ge nv ren yi tai xi
三个臭皮匠合成一个诸葛亮	san ge chou pi jiang he cheng yi ge zhu ge liang
三个臭皮匠赛过一个诸葛亮	san ge chou pi jiang sai guo yi ge zhu ge liang
三个臭皮匠赛过诸葛亮	san ge chou pi jiang sai guo zhu ge liang
三个臭皮匠顶个诸葛亮	san ge chou pi jiang ding ge zhu ge liang
三五成群	san wu cheng qun
三人成虎	san ren cheng hu
三人行必有我师	san ren xing bi you wo shi
三令五申	san ling wu shen
三十六计走为上策	san shi liu ji zou wei shang ce
三十而立	san shi er li
三句话不离本行	san ju hua bu li ben hang
三天不打上房揭瓦	san tian bu da shang fang jie wa
三天两头	san tian liang tou
三头六臂	san tou liu bi
三妻四妾	san qi si qie
三姑六婆	san gu liu po
三心二意	san xin er yi
三思而后行	san si er hou xing
三思而行	san si er xing
三折肱为良医	san zhe gong wei liang yi
三旬九食	san xun jiu shi
三更半夜	san geng ban ye
三生有幸	san sheng you xing
三番两次	san fan liang ci
三番五次	san fan wu ci
三百六十行	san bai liu shi hang
三纲五常	san gang wu chang
三缄其口	san jian qi kou
三茶六饭	san cha liu fan
三言两句	san yan liang ju
三言两语	san yan liang yu
三足鼎立	san zu ding li
三顾茅庐	san gu mao lu
三马同槽	san ma tong cao
上一次当学一次乖	shang yi ci dang xue yi ci guai
上下其手	shang xia qi shou
上刀山下油锅	shang dao shan xia you guo
